submission_id,RT,age,comments,condition,correctness,education,endTime,expected,experiment_id,gender,item,key_pressed,languages,number_of_items,picture,startDate,startTime,timeSpent,trial_number,trial_type
3221,1436,23,loved it!,conjunction,correct,right,1630351317772,no target,256,female,178,s,German,5,images/main/conjunction/5/no_target/C_5_NT_2.jpg,Mon Aug 30 2021 18:43:06 GMT+0100 (BST),1630345386664,98.8518,12,main
3221,1151,23,loved it!,conjunction,correct,right,1630351317772,target,256,female,169,l,German,5,images/main/conjunction/5/target/C_5_T_1.jpg,Mon Aug 30 2021 18:43:06 GMT+0100 (BST),1630345386664,98.8518,13,main
3221,1350,23,loved it!,conjunction,incorrect,right,1630351317772,no target,256,female,209,l,German,30,images/main/conjunction/30/no_target/C_30_NT_1.jpg,Mon Aug 30 2021 18:43:06 GMT+0100 (BST),1630345386664,98.8518,14,main
3221,1010,23,loved it!,conjunction,correct,right,1630351317772,target,256,female,185,l,German,15,images/main/conjunction/15/target/C_15_T_1.jpg,Mon Aug 30 2021 18:43:06 GMT+0100 (BST),1630345386664,98.8518,15,main
3221,1192,23,loved it!,conjunction,correct,right,1630351317772,target,256,female,172,l,German,5,images/main/conjunction/5/target/C_5_T_4.jpg,Mon Aug 30 2021 18:43:06 GMT+0100 (BST),1630345386664,98.8518,16,main
3221,1300,23,loved it!,conjunction,correct,right,1630351317772,no target,256,female,184,s,German,5,images/main/conjunction/5/no_target/C_5_NT_8.jpg,Mon Aug 30 2021 18:43:06 GMT+0100 (BST),1630345386664,98.8518,17,main
3221,735,23,loved it!,conjunction,correct,right,1630351317772,target,256,female,170,l,German,5,images/main/conjunction/5/target/C_5_T_2.jpg,Mon Aug 30 2021 18:43:06 GMT+0100 (BST),1630345386664,98.8518,18,main
3221,1745,23,loved it!,conjunction,correct,right,1630351317772,no target,256,female,198,s,German,15,images/main/conjunction/15/no_target/C_15_NT_6.jpg,Mon Aug 30 2021 18:43:06 GMT+0100 (BST),1630345386664,98.8518,19,main
3221,1334,23,loved it!,conjunction,correct,right,1630351317772,no target,256,female,165,s,German,1,images/main/conjunction/1/no_target/C_1_NT_5.jpg,Mon Aug 30 2021 18:43:06 GMT+0100 (BST),1630345386664,98.8518,20,main
3221,1615,23,loved it!,conjunction,incorrect,right,1630351317772,target,256,female,203,s,German,30,images/main/conjunction/30/target/C_30_T_3.jpg,Mon Aug 30 2021 18:43:06 GMT+0100 (BST),1630345386664,98.8518,21,main
3221,951,23,loved it!,conjunction,correct,right,1630351317772,no target,256,female,166,s,German,1,images/main/conjunction/1/no_target/C_1_NT_6.jpg,Mon Aug 30 2021 18:43:06 GMT+0100 (BST),1630345386664,98.8518,22,main
