submission_id,RT,age,comments,condition,correctness,education,endTime,expected,experiment_id,gender,item,key_pressed,languages,number_of_items,picture,startDate,startTime,timeSpent,trial_number,trial_type
2686,1237,25,,color,correct,right,1629383070313,target,256,female,30,l,"Low German, German",1,images/main/feature/1/target/F_C_1_T_6_XBlue.jpg,Thu Aug 19 2021 15:48:54 GMT+0200 (Mitteleuropäische Sommerzeit),1629380934780,35.592216666666666,8,main
2686,2034,25,,color,correct,right,1629383070313,no target,256,female,66,s,"Low German, German",15,images/main/feature/15/no_target/F_C_15_NT_2.jpg,Thu Aug 19 2021 15:48:54 GMT+0200 (Mitteleuropäische Sommerzeit),1629380934780,35.592216666666666,9,main
2686,1702,25,,color,correct,right,1629383070313,no target,256,female,67,s,"Low German, German",15,images/main/feature/15/no_target/F_C_15_NT_3.jpg,Thu Aug 19 2021 15:48:54 GMT+0200 (Mitteleuropäische Sommerzeit),1629380934780,35.592216666666666,10,main
2686,2022,25,,shape,correct,right,1629383070313,target,256,female,48,l,"Low German, German",5,images/main/feature/5/target/F_C_5_T_8_Sgreen.jpg,Thu Aug 19 2021 15:48:54 GMT+0200 (Mitteleuropäische Sommerzeit),1629380934780,35.592216666666666,11,main
2686,1184,25,,color,correct,right,1629383070313,target,256,female,46,l,"Low German, German",5,images/main/feature/5/target/F_C_5_T_6_Xblue.jpg,Thu Aug 19 2021 15:48:54 GMT+0200 (Mitteleuropäische Sommerzeit),1629380934780,35.592216666666666,12,main
2686,1361,25,,shape,correct,right,1629383070313,no target,256,female,53,s,"Low German, German",5,images/main/feature/5/no_target/F_C_5_NT_5.jpg,Thu Aug 19 2021 15:48:54 GMT+0200 (Mitteleuropäische Sommerzeit),1629380934780,35.592216666666666,13,main
2686,2060,25,,color,correct,right,1629383070313,no target,256,female,65,s,"Low German, German",15,images/main/feature/15/no_target/F_C_15_NT_1.jpg,Thu Aug 19 2021 15:48:54 GMT+0200 (Mitteleuropäische Sommerzeit),1629380934780,35.592216666666666,14,main
2686,3133,25,,color,correct,right,1629383070313,no target,256,female,84,s,"Low German, German",30,images/main/feature/30/no_target/F_C_30_NT_4.jpg,Thu Aug 19 2021 15:48:54 GMT+0200 (Mitteleuropäische Sommerzeit),1629380934780,35.592216666666666,15,main
2686,2039,25,,color,correct,right,1629383070313,no target,256,female,33,s,"Low German, German",1,images/main/feature/1/no_target/F_C_1_NT_1.jpg,Thu Aug 19 2021 15:48:54 GMT+0200 (Mitteleuropäische Sommerzeit),1629380934780,35.592216666666666,16,main
2686,1280,25,,color,correct,right,1629383070313,no target,256,female,35,s,"Low German, German",1,images/main/feature/1/no_target/F_C_1_NT_3.jpg,Thu Aug 19 2021 15:48:54 GMT+0200 (Mitteleuropäische Sommerzeit),1629380934780,35.592216666666666,17,main
2686,3498,25,,color,correct,right,1629383070313,no target,256,female,81,s,"Low German, German",30,images/main/feature/30/no_target/F_C_30_NT_1.jpg,Thu Aug 19 2021 15:48:54 GMT+0200 (Mitteleuropäische Sommerzeit),1629380934780,35.592216666666666,18,main
2686,1298,25,,shape,correct,right,1629383070313,target,256,female,60,l,"Low German, German",15,images/main/feature/15/target/F_C_15_T_4_Sbrown.jpg,Thu Aug 19 2021 15:48:54 GMT+0200 (Mitteleuropäische Sommerzeit),1629380934780,35.592216666666666,19,main
2686,1282,25,,shape,correct,right,1629383070313,target,256,female,28,l,"Low German, German",1,images/main/feature/1/target/F_C_1_T_4_Sbrown.jpg,Thu Aug 19 2021 15:48:54 GMT+0200 (Mitteleuropäische Sommerzeit),1629380934780,35.592216666666666,20,main
2686,1480,25,,color,correct,right,1629383070313,target,256,female,41,l,"Low German, German",5,images/main/feature/5/target/F_C_5_T_1_Tblue.jpg,Thu Aug 19 2021 15:48:54 GMT+0200 (Mitteleuropäische Sommerzeit),1629380934780,35.592216666666666,21,main
2686,1366,25,,color,correct,right,1629383070313,target,256,female,77,l,"Low German, German",30,images/main/feature/30/target/F_C_30_T_5_Xblue.jpg,Thu Aug 19 2021 15:48:54 GMT+0200 (Mitteleuropäische Sommerzeit),1629380934780,35.592216666666666,22,main
2686,1720,25,,shape,incorrect,right,1629383070313,no target,256,female,70,l,"Low German, German",15,images/main/feature/15/no_target/F_C_15_NT_6.jpg,Thu Aug 19 2021 15:48:54 GMT+0200 (Mitteleuropäische Sommerzeit),1629380934780,35.592216666666666,23,main
