submission_id,RT,age,comments,condition,correctness,education,endTime,expected,experiment_id,gender,item,key_pressed,languages,number_of_items,picture,startDate,startTime,timeSpent,trial_number,trial_type
2646,792,26,What a delight!,color,correct,right,1629220874685,target,256,male,25,l,German,1,images/main/feature/1/target/F_C_1_T_1_Tblue.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,10,main
2646,888,26,What a delight!,color,correct,right,1629220874685,target,256,male,78,l,German,30,images/main/feature/30/target/F_C_30_T_6_Xblue.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,11,main
2646,795,26,What a delight!,shape,correct,right,1629220874685,target,256,male,27,l,German,1,images/main/feature/1/target/F_C_1_T_3_Sbrown.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,12,main
2646,766,26,What a delight!,shape,correct,right,1629220874685,target,256,male,31,l,German,1,images/main/feature/1/target/F_C_1_T_7_Sgreen.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,13,main
2646,1456,26,What a delight!,shape,correct,right,1629220874685,no target,256,male,86,s,German,30,images/main/feature/30/no_target/F_C_30_NT_6.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,14,main
2646,2223,26,What a delight!,color,correct,right,1629220874685,no target,256,male,65,s,German,15,images/main/feature/15/no_target/F_C_15_NT_1.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,15,main
2646,1815,26,What a delight!,shape,incorrect,right,1629220874685,target,256,male,59,s,German,15,images/main/feature/15/target/F_C_15_T_3_Sbrown.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,16,main
2646,970,26,What a delight!,color,correct,right,1629220874685,target,256,male,57,l,German,15,images/main/feature/15/target/F_C_15_T_1_Tblue.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,17,main
2646,1080,26,What a delight!,color,correct,right,1629220874685,target,256,male,26,l,German,1,images/main/feature/1/target/F_C_1_T_2_Tblue.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,18,main
2646,1576,26,What a delight!,shape,correct,right,1629220874685,no target,256,male,71,s,German,15,images/main/feature/15/no_target/F_C_15_NT_7.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,19,main
2646,1095,26,What a delight!,shape,correct,right,1629220874685,target,256,male,80,l,German,30,images/main/feature/30/target/F_C_30_T_8_Sgreen.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,20,main
2646,1078,26,What a delight!,shape,correct,right,1629220874685,no target,256,male,72,s,German,15,images/main/feature/15/no_target/F_C_15_NT_8.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,21,main
2646,1080,26,What a delight!,shape,correct,right,1629220874685,target,256,male,43,l,German,5,images/main/feature/5/target/F_C_5_T_3_Sbrown.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,22,main
2646,960,26,What a delight!,color,correct,right,1629220874685,no target,256,male,51,s,German,5,images/main/feature/5/no_target/F_C_5_NT_3.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,23,main
2646,1567,26,What a delight!,color,correct,right,1629220874685,no target,256,male,84,s,German,30,images/main/feature/30/no_target/F_C_30_NT_4.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,24,main
2646,910,26,What a delight!,shape,correct,right,1629220874685,target,256,male,48,l,German,5,images/main/feature/5/target/F_C_5_T_8_Sgreen.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,25,main
2646,1173,26,What a delight!,color,correct,right,1629220874685,target,256,male,61,l,German,15,images/main/feature/15/target/F_C_15_T_5_Xblue.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,26,main
2646,953,26,What a delight!,shape,correct,right,1629220874685,target,256,male,64,l,German,15,images/main/feature/15/target/F_C_15_T_8_Sgreen.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,27,main
2646,1127,26,What a delight!,shape,correct,right,1629220874685,no target,256,male,40,s,German,1,images/main/feature/1/no_target/F_C_1_NT_8.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,28,main
2646,854,26,What a delight!,color,correct,right,1629220874685,target,256,male,58,l,German,15,images/main/feature/15/target/F_C_15_T_2_Tblue.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,29,main
2646,1552,26,What a delight!,shape,correct,right,1629220874685,no target,256,male,87,s,German,30,images/main/feature/30/no_target/F_C_30_NT_7.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,30,main
2646,1015,26,What a delight!,color,correct,right,1629220874685,no target,256,male,66,s,German,15,images/main/feature/15/no_target/F_C_15_NT_2.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,31,main
2646,959,26,What a delight!,color,correct,right,1629220874685,no target,256,male,36,s,German,1,images/main/feature/1/no_target/F_C_1_NT_4.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,32,main
2646,770,26,What a delight!,color,correct,right,1629220874685,target,256,male,45,l,German,5,images/main/feature/5/target/F_C_5_T_5_Xblue.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,33,main
2646,1055,26,What a delight!,shape,correct,right,1629220874685,no target,256,male,37,s,German,1,images/main/feature/1/no_target/F_C_1_NT_5.jpg,Tue Aug 17 2021 17:37:53 GMT+0100 (British Summer Time),1629218273498,43.353116666666665,34,main
